name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
no_normalization_fusion,0.3786058120548862,0.4854824659222808,0.3438850228041545,0.254689010752379,0.38483997320982466,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
min_max_fusion,0.3792763734893365,0.4854824659222808,0.3506856610262558,0.2614548399885013,0.39940496054298924,39.0,35.0,0.9262123691750723,False,1.0,0.0,0.0,,False,,175.0,134.0,0.0669263426664778,False,0.6023370839983002,180.0,129.0,0.12495521511751656,False,1.0,131.0,98.0,0.05171274603457354,False,0.4654147143111619
theoretical_min_max_fusion,0.37961201607034945,0.4854824659222808,0.3448240105791294,0.2540756197064319,0.38999633237025577,42.0,37.0,0.8924883351938787,False,1.0,0.0,0.0,,False,,167.0,147.0,0.8073056089836187,False,1.0,168.0,146.0,0.8944221505928642,False,1.0,122.0,110.0,0.4987472771938738,False,1.0
z_score_fusion,0.38183552986793734,0.4854824659222808,0.3500184283674107,0.260463089732564,0.39910591710993504,42.0,35.0,0.6580028297103402,False,1.0,0.0,0.0,,False,,178.0,130.0,0.09130490962751427,False,0.8217441866476284,179.0,129.0,0.1780374749569333,False,1.0,130.0,96.0,0.057661412591408896,False,0.5189527133226801
min_max_fusion_lexical_only,0.37643490768490784,0.4854824659222808,0.3413685455755318,0.2523171093266634,0.3799596744608752,29.0,37.0,0.7377426370157713,False,1.0,0.0,0.0,,False,,139.0,158.0,0.5045777727001672,False,1.0,138.0,157.0,0.6019935876325833,False,1.0,111.0,122.0,0.5019264240168051,False,1.0
theoretical_min_max_fusion_lexical_only,0.37643490768490784,0.4854824659222808,0.3414035423542834,0.2523614670507597,0.37999641755317387,29.0,37.0,0.7377426370157713,False,1.0,0.0,0.0,,False,,140.0,158.0,0.5105878097085219,False,1.0,139.0,157.0,0.6088809285531344,False,1.0,112.0,122.0,0.5051579414114986,False,1.0
z_score_fusion_lexical_only,0.3745058953392288,0.4854824659222808,0.3453051418251422,0.2567424752635246,0.3880825224557228,22.0,32.0,0.47932612314562684,False,1.0,0.0,0.0,,False,,140.0,141.0,0.6517315344716594,False,1.0,138.0,142.0,0.5881551900215745,False,1.0,107.0,106.0,0.6029409653707867,False,1.0
BM25,0.3097077648003574,0.4854824659222808,0.30153504943194404,0.20664017102721796,0.3203086524411766,24.0,109.0,1.0659617761533073e-11,True,9.593655985379766e-11,0.0,0.0,,False,,97.0,252.0,4.74016629194642e-14,True,4.266149662751778e-13,95.0,254.0,2.145977838224981e-12,True,1.931380054402483e-11,78.0,203.0,6.786087023049728e-12,True,6.107478320744756e-11
BM25+TASB,0.37247400233511374,0.48548246592228067,0.3397683257741639,0.25042783124866214,0.3776913235158137,25.0,39.0,0.3311288049530353,False,1.0,0.0,0.0,,False,,136.0,163.0,0.29879690114546353,False,1.0,135.0,162.0,0.3737191967005966,False,1.0,107.0,125.0,0.3411066608248635,False,1.0
BM25+Cont,0.344599412076264,0.48548246592228067,0.3183826436049874,0.22318332230923113,0.35028113914794073,50.0,91.0,0.0010711674437232557,True,0.009640506993509301,0.0,0.0,,False,,147.0,221.0,0.00022943070958827966,True,0.002064876386294517,147.0,221.0,0.00016851350765754178,True,0.001516621568917876,121.0,185.0,0.004332666443722984,True,0.03899399799350686
