name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
no_normalization_fusion,0.15940457516751513,0.21299074118653755,0.2635103823613004,0.147942478833812,0.5553499151172477,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
min_max_fusion,0.15996581149477665,0.21299074118653755,0.2651508845886012,0.150000094572517,0.5488879399172396,35.0,23.0,0.7217901130113489,False,1.0,0.0,0.0,,False,,94.0,79.0,0.14090559512305295,False,1.0,94.0,79.0,0.018564632333003733,False,0.1670816909970336,37.0,31.0,0.39536821053444293,False,1.0
theoretical_min_max_fusion,0.16025678496527673,0.21299074118653755,0.26664818155866865,0.15191421716961495,0.5539222315925104,39.0,26.0,0.6318638453608714,False,1.0,0.0,0.0,,False,,101.0,79.0,0.05888854488228801,False,0.5299969039405921,106.0,74.0,0.014169164717233665,False,0.12752248245510298,42.0,33.0,0.879931460050587,False,1.0
z_score_fusion,0.16069909288403733,0.21299074118653755,0.2666757824058699,0.15166831474323939,0.5520438297394684,41.0,22.0,0.455030101423778,False,1.0,0.0,0.0,,False,,98.0,77.0,0.040105945243025465,False,0.3609535071872292,101.0,74.0,0.008810168089505861,False,0.07929151280555274,42.0,32.0,0.7148063164922737,False,1.0
min_max_fusion_lexical_only,0.1527145924292642,0.21299074118653755,0.258846475313263,0.1433722041429647,0.5506415834551137,16.0,36.0,0.012730597802096798,False,0.11457538021887119,0.0,0.0,,False,,75.0,94.0,0.0019941371023295762,True,0.017947233920966185,73.0,95.0,0.0006244720165175914,True,0.005620248148658322,33.0,25.0,0.5542269335843635,False,1.0
theoretical_min_max_fusion_lexical_only,0.1527145924292642,0.21299074118653755,0.258846475313263,0.1433722041429647,0.5506415834551137,16.0,36.0,0.012730597802096798,False,0.11457538021887119,0.0,0.0,,False,,75.0,94.0,0.0019941371023295762,True,0.017947233920966185,73.0,95.0,0.0006244720165175914,True,0.005620248148658322,33.0,25.0,0.5542269335843635,False,1.0
z_score_fusion_lexical_only,0.15578723169229872,0.21299074118653755,0.2603458951745491,0.14497655420705285,0.5490922117280259,12.0,25.0,0.048852978684461444,False,0.439676808160153,0.0,0.0,,False,,72.0,91.0,0.0031326543259739743,True,0.02819388893376577,69.0,94.0,0.0028772195988876464,True,0.02589497638998882,30.0,22.0,0.31339566637457045,False,1.0
BM25,0.1478131313411865,0.21299074118653755,0.2553136558479105,0.13937043395844156,0.5377954244324094,31.0,53.0,0.020025064709479786,False,0.18022558238531808,0.0,0.0,,False,,72.0,119.0,0.027955693963995696,False,0.25160124567596126,70.0,120.0,0.037302349007820326,False,0.3357211410703829,37.0,57.0,0.14366446077261652,False,1.0
BM25+TASB,0.15268660154814945,0.21299074118653769,0.2586946737078921,0.1429354850897708,0.5484272782744503,15.0,37.0,0.012689816739042603,False,0.11420835065138342,0.0,0.0,,False,,69.0,100.0,0.003550504347800787,True,0.031954539130207085,68.0,101.0,0.0005919689261181262,True,0.005327720335063136,33.0,27.0,0.4129557466965229,False,1.0
BM25+Cont,0.16202100740363146,0.21299074118653769,0.2602478233678064,0.14720413826736864,0.5337286923240973,40.0,45.0,0.33764856141880717,False,1.0,0.0,0.0,,False,,80.0,112.0,0.276874701259274,False,1.0,86.0,105.0,0.7938998089835926,False,1.0,43.0,59.0,0.127770460332243,False,1.0
