name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
no_normalization_fusion,0.9177668400644187,0.9504841158327838,0.8507079514957151,0.8050426880537825,0.8387258979915985,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
min_max_fusion,0.9242488106297804,0.9504841158327838,0.8619691999748135,0.8200121716246056,0.8524835289873095,201.0,68.0,1.320978339290502e-11,True,1.1888805053614517e-10,0.0,0.0,,False,,1443.0,712.0,6.272526600013428e-29,True,5.645273940012085e-28,1442.0,713.0,2.3539638225409214e-29,True,2.1185674402868292e-28,966.0,473.0,2.603449776628568e-21,True,2.3431047989657114e-20
theoretical_min_max_fusion,0.9251184796413244,0.9504841158327838,0.8633962879613124,0.8219129732690073,0.8538955095281952,219.0,75.0,2.2197383867085972e-13,True,1.9977645480377377e-12,0.0,0.0,,False,,1439.0,675.0,6.94763869516451e-37,True,6.252874825648059e-36,1441.0,673.0,1.4306561456945436e-37,True,1.2875905311250893e-36,963.0,437.0,4.518266175801329e-26,True,4.0664395582211964e-25
z_score_fusion,0.9248305449445922,0.9504841158327838,0.863352320036853,0.8217476664395186,0.8542267681514649,208.0,72.0,2.6770510567928267e-13,True,2.409345951113544e-12,0.0,0.0,,False,,1409.0,649.0,3.104438038462245e-39,True,2.7939942346160206e-38,1417.0,641.0,1.8255985725881483e-39,True,1.6430387153293334e-38,943.0,402.0,3.812393743046649e-29,True,3.4311543687419844e-28
min_max_fusion_lexical_only,0.9093243974861701,0.9504841158327838,0.83985478647165,0.7910796356452514,0.8247128642354284,108.0,219.0,6.143900608576391e-13,True,5.529510547718752e-12,0.0,0.0,,False,,871.0,1368.0,8.907506462087099e-25,True,8.016755815878388e-24,870.0,1369.0,9.633955131481104e-24,True,8.670559618332994e-23,567.0,961.0,1.755214670815077e-20,True,1.5796932037335692e-19
theoretical_min_max_fusion_lexical_only,0.9092743974861701,0.9504841158327838,0.8398388898749614,0.7910532239088398,0.8247028642354282,108.0,220.0,4.709882719653229e-13,True,4.238894447687906e-12,0.0,0.0,,False,,871.0,1370.0,7.666511221573609e-25,True,6.899860099416249e-24,870.0,1371.0,8.027925785723905e-24,True,7.225133207151514e-23,567.0,962.0,1.6532497188510605e-20,True,1.4879247469659545e-19
z_score_fusion_lexical_only,0.9120134865996375,0.9504841158327838,0.8443366915453727,0.7969006640371418,0.8303802197891582,97.0,169.0,4.0103188255850324e-08,True,3.6092869430265294e-07,0.0,0.0,,False,,825.0,1162.0,1.74132918322723e-12,True,1.567196264904507e-11,822.0,1164.0,7.887558699200204e-12,True,7.098802829280184e-11,516.0,776.0,1.0959111760667866e-10,True,9.86320058460108e-10
BM25,0.8683964728187784,0.9504841158327838,0.7895572305723025,0.7264405082147978,0.7616152533317909,140.0,855.0,2.9293408806007707e-107,True,2.6364067925406936e-106,0.0,0.0,,False,,835.0,2804.0,3.368083874293683e-206,True,3.0312754868643146e-205,828.0,2810.0,2.4368565169051174e-204,True,2.1931708652146056e-203,658.0,2217.0,4.5859371903159844e-173,True,4.127343471284386e-172
BM25+TASB,0.9078843811585088,0.9504841158327839,0.8376752874449048,0.7882499065283912,0.8219116169615525,102.0,239.0,1.938337333561813e-16,True,1.7445036002056316e-15,0.0,0.0,,False,,852.0,1449.0,4.975832311390473e-33,True,4.478249080251425e-32,848.0,1453.0,8.559218659402373e-32,True,7.703296793462136e-31,560.0,1032.0,2.7840653710134103e-27,True,2.5056588339120694e-26
BM25+Cont,0.9183313503458855,0.9504841158327839,0.8433153611621492,0.7953103286230782,0.8279093584814493,306.0,294.0,0.7107337189307857,False,1.0,0.0,0.0,,False,,1504.0,1708.0,2.7011715515035983e-05,True,0.00024310543963532386,1496.0,1716.0,2.4836146317472824e-05,True,0.0002235253168572554,1119.0,1328.0,1.2062615183021536e-05,True,0.00010856353664719383
