name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
no_normalization_fusion,0.8225555555555555,0.9366666666666666,0.7187894295435923,0.6519765593720871,0.6621135316991988,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
min_max_fusion,0.8138888888888889,0.9416666666666667,0.7179944928324571,0.6506572653676366,0.6630524662754514,9.0,11.0,0.5186804446168957,False,1.0,5.0,3.0,0.5783231245069974,False,1.0,62.0,55.0,0.9192027537933658,False,1.0,63.0,54.0,0.8932441990526865,False,1.0,56.0,52.0,0.9288147230387342,False,1.0
theoretical_min_max_fusion,0.8284444444444444,0.9516666666666667,0.7301670355701582,0.6628055125300937,0.6730398593987776,10.0,7.0,0.6117790608652656,False,1.0,6.0,1.0,0.07180169954029475,False,0.6462152958626528,65.0,40.0,0.11563874989320154,False,1.0,66.0,39.0,0.23831180183306702,False,1.0,57.0,37.0,0.25368424670245654,False,1.0
z_score_fusion,0.8401111111111111,0.9516666666666667,0.7331617479401659,0.6667991809639957,0.675268761604772,12.0,5.0,0.11752251170143731,False,1.0,5.0,0.0,0.028809659396856598,False,0.25928693457170937,67.0,33.0,0.014400457981524494,False,0.12960412183372044,67.0,33.0,0.04867610010231622,False,0.43808490092084595,58.0,27.0,0.07769325097657429,False,0.6992392587891686
min_max_fusion_lexical_only,0.7390555555555555,0.8933333333333333,0.6599642634998372,0.5916675979813604,0.6034340327222373,7.0,31.0,1.6016641776292676e-05,True,0.0001441497759866341,0.0,13.0,0.0002764273149529144,True,0.0024878458345762296,39.0,96.0,2.976345373263688e-07,True,2.678710835937319e-06,40.0,95.0,1.3614646718224944e-05,True,0.0001225318204640245,35.0,92.0,3.626559588711618e-05,True,0.0003263903629840456
theoretical_min_max_fusion_lexical_only,0.7390555555555555,0.8933333333333333,0.6599642634998372,0.5916675979813604,0.6034340327222373,7.0,31.0,1.6016641776292676e-05,True,0.0001441497759866341,0.0,13.0,0.0002764273149529144,True,0.0024878458345762296,39.0,96.0,2.976345373263688e-07,True,2.678710835937319e-06,40.0,95.0,1.3614646718224944e-05,True,0.0001225318204640245,35.0,92.0,3.626559588711618e-05,True,0.0003263903629840456
z_score_fusion_lexical_only,0.7865555555555555,0.9133333333333333,0.6948756060577254,0.6301515268083904,0.640669199179196,7.0,17.0,0.015593012746889926,False,0.14033711472200933,0.0,7.0,0.007937250223721064,False,0.07143525201348958,41.0,71.0,0.0030655251854537395,True,0.027589726669083655,41.0,71.0,0.02931458077634427,False,0.26383122698709843,34.0,69.0,0.03689891841635605,False,0.33209026574720446
BM25,0.8143333333333334,0.9226666666666667,0.6965625022154535,0.626748723422958,0.636618812086729,10.0,15.0,0.5633264884426836,False,1.0,3.0,8.0,0.15097629951441607,False,1.0,38.0,78.0,0.016238148051018215,False,0.14614333245916394,38.0,78.0,0.026690385956395692,False,0.24021347360756123,37.0,67.0,0.028073525766902255,False,0.2526617319021203
BM25+TASB,0.7323888888888889,0.8916666666666667,0.651384479807525,0.581492766822639,0.5940067856110701,7.0,33.0,5.7056853268060296e-06,True,5.1351167941254263e-05,0.0,14.0,0.00018186699596739548,True,0.0016368029637065594,36.0,106.0,2.1148405327889606e-08,True,1.9033564795100646e-07,36.0,106.0,1.2854522155274957e-06,True,1.1569069939747462e-05,33.0,101.0,4.6291450708154484e-06,True,4.1662305637339034e-05
BM25+Cont,0.8086111111111112,0.936,0.6769641915819026,0.5971615221623917,0.6124204496456882,17.0,22.0,0.46963382324991276,False,1.0,7.0,8.0,0.9550732911336733,False,1.0,60.0,92.0,0.0019275632986256442,True,0.017348069687630797,61.0,91.0,0.0011769478497519474,True,0.010592530647767526,58.0,83.0,0.004003795448753573,True,0.036034159038782154
