name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
no_normalization_fusion,0.3961493196446901,0.6327294747433637,0.3860179690966243,0.26739857793392935,0.39701009132994036,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
min_max_fusion,0.4089193813730849,0.6526785243220429,0.40258908682571537,0.28089922752690283,0.4175316818553979,70.0,44.0,0.12873222140066956,False,1.0,52.0,20.0,0.00019450697407309253,True,0.0017505627666578327,267.0,174.0,0.0001953787585168519,True,0.0017584088266516672,269.0,172.0,0.007067633264336366,False,0.0636086993790273,198.0,129.0,0.012757082695769053,False,0.11481374426192148
theoretical_min_max_fusion,0.4068367160959752,0.6572603879316843,0.39593333506969347,0.27146476258491414,0.4052092612474875,69.0,47.0,0.21116100930992773,False,1.0,62.0,23.0,5.285084979770212e-05,True,0.00047565764817931907,265.0,178.0,0.024227454161645384,False,0.21804708745480844,260.0,183.0,0.4114126010775624,False,1.0,182.0,140.0,0.31156171049246706,False,1.0
z_score_fusion,0.4088844754354013,0.6551770545983507,0.4011281402369089,0.2783819265916261,0.4134907276327418,64.0,36.0,0.1109384421912442,False,0.9984459797211978,54.0,16.0,2.036905542270033e-05,True,0.00018332149880430294,264.0,167.0,0.00019648748747759937,True,0.0017683873872983945,263.0,168.0,0.015450177123333964,False,0.13905159411000567,185.0,129.0,0.03246095764758423,False,0.29214861882825804
min_max_fusion_lexical_only,0.38327515248811556,0.6064238701970184,0.3713685902900128,0.25758839075679735,0.3854564866037859,50.0,67.0,0.13771781386833984,False,1.0,17.0,58.0,4.23047283549479e-06,True,3.807425551945311e-05,179.0,254.0,0.0021301430970367186,True,0.01917128787333047,175.0,258.0,0.06779823116846802,False,0.6101840805162122,152.0,193.0,0.16266142404623493,False,1.0
theoretical_min_max_fusion_lexical_only,0.38327515248811556,0.6064238701970184,0.37135267043185716,0.2575666064591034,0.3854560670175964,50.0,67.0,0.13771781386833984,False,1.0,17.0,58.0,4.23047283549479e-06,True,3.807425551945311e-05,179.0,254.0,0.0021081397153530647,True,0.01897325743817758,175.0,258.0,0.0672311742067899,False,0.6050805678611091,152.0,193.0,0.16264619912428285,False,1.0
z_score_fusion_lexical_only,0.39481064631527607,0.6205417910279021,0.38350637147466604,0.2683998191298516,0.39843049292646204,39.0,46.0,0.8558099305178003,False,1.0,16.0,41.0,0.0018330199812882971,True,0.016497179831594676,197.0,211.0,0.4691599918640331,False,1.0,196.0,212.0,0.7974450454341998,False,1.0,147.0,155.0,0.8228257794050183,False,1.0
BM25,0.3097077648003574,0.5591828524698897,0.3174134909642612,0.2086397650398657,0.32109114049006365,29.0,133.0,2.7058496796651957e-14,True,2.435264711698676e-13,32.0,138.0,1.367413640549365e-12,True,1.2306722764944285e-11,111.0,357.0,1.2300672370999891e-25,True,1.1070605133899903e-24,108.0,360.0,9.766806601133496e-17,True,8.790125941020147e-16,93.0,281.0,1.1502583597536959e-14,True,1.0352325237783263e-13
BM25+TASB,0.37828544055395924,0.5982705780159484,0.3661717330633491,0.2534413946423637,0.3809750784065758,47.0,72.0,0.03883224987811157,False,0.3494902489030041,17.0,69.0,4.907498371293045e-08,True,4.4167485341637407e-07,171.0,263.0,5.691936280795856e-05,True,0.000512274265271627,168.0,266.0,0.011340132409767058,False,0.10206119168790352,142.0,200.0,0.06044495853957275,False,0.5440046268561547
BM25+Cont,0.3371074013435125,0.5959074790093308,0.33168832958403177,0.21297287986892696,0.3306366114281966,73.0,137.0,2.440466781935968e-06,True,2.196420103742371e-05,67.0,111.0,0.0003504475077180393,True,0.003154027569462354,189.0,303.0,1.7409365983816026e-10,True,1.5668429385434423e-09,181.0,311.0,7.144980889768774e-09,True,6.430482800791897e-08,156.0,256.0,8.144687783135423e-07,True,7.330219004821881e-06
