name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
"RRF(60,60)",0.38331250796528593,0.6431142973967047,0.3796925590383049,0.2570796231154826,0.3834040390510219,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
MM,0.4089193813730849,0.6526785243220429,0.40258908682571537,0.28089922752690283,0.4175316818553979,64.0,35.0,0.0015760912032334235,True,0.015760912032334234,38.0,20.0,0.06427542532814437,False,0.6427542532814436,296.0,138.0,1.4613605557304476e-08,True,1.4613605557304476e-07,293.0,141.0,3.526623622043631e-07,True,3.526623622043631e-06,217.0,108.0,2.9266529378136774e-06,True,2.9266529378136773e-05
TMM,0.4071453580712839,0.6588035978082275,0.39655422142261637,0.27198495727869965,0.4056687291431556,61.0,33.0,0.002509256409950918,True,0.02509256409950918,46.0,18.0,0.0021256443489115345,True,0.021256443489115345,285.0,154.0,1.3496642579138785e-05,True,0.00013496642579138786,284.0,155.0,0.0007742584449796757,True,0.007742584449796757,204.0,119.0,0.0018185993924904934,True,0.018185993924904935
Z,0.4088844754354013,0.6551770545983507,0.4011281402369089,0.2783819265916261,0.4134907276327418,61.0,27.0,0.0009895360239346824,True,0.009895360239346824,43.0,20.0,0.01244929308514846,False,0.12449293085148459,292.0,139.0,2.9568825586592354e-08,True,2.956882558659235e-07,290.0,141.0,1.5659120174507617e-06,True,1.5659120174507617e-05,214.0,105.0,3.507125257604008e-05,True,0.0003507125257604008
MM-LEX,0.38327515248811556,0.6064238701970184,0.3713685902900128,0.25758839075679735,0.3854564866037859,69.0,80.0,0.9972606414651919,False,1.0,31.0,83.0,4.452591626158569e-06,True,4.452591626158569e-05,208.0,253.0,0.16436529106437514,False,1.0,210.0,251.0,0.9395482946907376,False,1.0,171.0,179.0,0.8290226961746778,False,1.0
TMM-LEX,0.38327515248811556,0.6064238701970184,0.3713522692495379,0.25756649308782237,0.38545584027503443,69.0,80.0,0.9972606414651919,False,1.0,31.0,83.0,4.452591626158569e-06,True,4.452591626158569e-05,208.0,253.0,0.16354968475168788,False,1.0,210.0,251.0,0.9421510490818352,False,1.0,171.0,179.0,0.8290757263295921,False,1.0
Z-LEX,0.39481064631527607,0.6205417910279021,0.38350637147466604,0.2683998191298516,0.39843049292646204,72.0,72.0,0.2780881995083328,False,1.0,32.0,70.0,0.0010148254061210287,True,0.010148254061210287,237.0,206.0,0.48450870033338067,False,1.0,233.0,210.0,0.06420321100936238,False,0.6420321100936238,185.0,149.0,0.09835723949456482,False,0.9835723949456482
Identity,0.3961493196446901,0.6327294747433637,0.3860179690966243,0.26739857793392935,0.39701009132994036,59.0,54.0,0.14040863379572507,False,1.0,34.0,51.0,0.09013591539590883,False,0.9013591539590883,243.0,197.0,0.18357697379367244,False,1.0,248.0,192.0,0.05076044228913104,False,0.5076044228913104,187.0,156.0,0.10981537560927072,False,1.0
BM25,0.3097077648003574,0.5591828524698897,0.3174134909642612,0.2086397650398657,0.32109114049006365,36.0,129.0,2.1041599907012277e-11,True,2.1041599907012277e-10,26.0,149.0,8.135825339875408e-16,True,8.135825339875408e-15,146.0,328.0,2.1133567837903505e-17,True,2.1133567837903504e-16,143.0,331.0,3.1803422929169875e-10,True,3.1803422929169874e-09,134.0,252.0,3.651052024799174e-08,True,3.651052024799174e-07
TASB,0.37828544055395924,0.5982705780159484,0.3661717330633491,0.2534413946423637,0.3809750784065758,70.0,88.0,0.6593159841832005,False,1.0,32.0,92.0,1.676505192150215e-07,True,1.676505192150215e-06,195.0,263.0,0.028153676692505722,False,0.28153676692505725,200.0,258.0,0.5948089665104076,False,1.0,163.0,189.0,0.8029733958798988,False,1.0
Contriever,0.3371074013435125,0.5959074790093308,0.33168832958403177,0.21297287986892696,0.3306366114281966,39.0,107.0,9.672213732176825e-07,True,9.672213732176825e-06,36.0,101.0,2.18796258629783e-07,True,2.18796258629783e-06,174.0,294.0,3.9052581605557125e-13,True,3.905258160555713e-12,170.0,298.0,2.6537752611573997e-09,True,2.6537752611573997e-08,147.0,233.0,6.244913182858798e-07,True,6.244913182858798e-06
