name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
"RRF(60,60)",0.1616123582592731,0.26249201573760267,0.29184743558948834,0.1565072880047358,0.5553603009982714,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
MM,0.16397647133047266,0.262598346728915,0.2950482253019016,0.15921225719605425,0.5530475092579554,31.0,21.0,0.16675483980684982,False,1.0,44.0,34.0,0.9588960193437782,False,1.0,107.0,91.0,0.04797275833638785,False,0.47972758336387855,110.0,87.0,0.028438829889314524,False,0.2843882988931452,36.0,35.0,0.7554483597502701,False,1.0
TMM,0.1635633806540365,0.26217861277213345,0.29624484471356866,0.1606415641634773,0.5608166739262862,30.0,21.0,0.2271421722979642,False,1.0,42.0,32.0,0.8690457170701833,False,1.0,107.0,89.0,0.006662945397966158,False,0.06662945397966158,114.0,81.0,0.0030325351096654922,True,0.03032535109665492,37.0,34.0,0.49306003342990445,False,1.0
Z,0.16207842609813347,0.26223893341885085,0.2955323397720508,0.1598489251102276,0.5552572414203649,34.0,25.0,0.837347389148434,False,1.0,45.0,34.0,0.8949090595897187,False,1.0,108.0,90.0,0.019873018107057466,False,0.19873018107057466,115.0,82.0,0.012595056033655669,False,0.1259505603365567,35.0,35.0,0.988993441682475,False,1.0
MM-LEX,0.15465491509674012,0.25299380498527135,0.277933400067973,0.14723461207379085,0.5365860924260852,30.0,49.0,0.0837332130911611,False,0.837332130911611,29.0,71.0,0.0015863541481857795,True,0.015863541481857795,75.0,128.0,9.757717766521977e-07,True,9.757717766521977e-06,72.0,131.0,8.768659388129913e-06,True,8.768659388129913e-05,35.0,57.0,0.09715989598225061,False,0.9715989598225061
TMM-LEX,0.15465491509674012,0.25299380498527135,0.277933400067973,0.14723461207379085,0.5365860924260852,30.0,49.0,0.0837332130911611,False,0.837332130911611,29.0,71.0,0.0015863541481857795,True,0.015863541481857795,75.0,128.0,9.757717766521977e-07,True,9.757717766521977e-06,72.0,131.0,8.768659388129913e-06,True,8.768659388129913e-05,35.0,57.0,0.09715989598225061,False,0.9715989598225061
Z-LEX,0.1588114593077357,0.2549692824589844,0.28300124972695784,0.1512826138814772,0.5428417989319054,31.0,44.0,0.41364851809471803,False,1.0,26.0,61.0,0.00908456220935159,False,0.0908456220935159,86.0,115.0,9.905549391145066e-05,True,0.0009905549391145065,82.0,119.0,0.0010504443698851759,True,0.010504443698851758,32.0,49.0,0.22207272568619646,False,1.0
Identity,0.16122087612348168,0.25426561156636207,0.28795109915068484,0.15480747813838242,0.557428955475668,32.0,33.0,0.886713333177792,False,1.0,30.0,57.0,0.028458956309702996,False,0.28458956309703,93.0,108.0,0.02729088489916385,False,0.2729088489916385,99.0,101.0,0.2054539305972781,False,1.0,35.0,44.0,0.8278149087124267,False,1.0
BM25,0.1478131313411865,0.2438168235037409,0.27291906110709724,0.14358201517739988,0.5381812937487147,31.0,59.0,0.014719557496008465,False,0.14719557496008465,20.0,77.0,8.725316736488723e-06,True,8.725316736488723e-05,63.0,138.0,7.617065974529276e-06,True,7.617065974529276e-05,67.0,134.0,0.001895720954826163,True,0.01895720954826163,38.0,57.0,0.13044170318620926,False,1.0
TASB,0.15461147176161266,0.2501097084779205,0.2768107534286268,0.14655702368124005,0.5354465298452146,33.0,50.0,0.08311763319772768,False,0.8311763319772768,26.0,71.0,0.000345388279409964,True,0.00345388279409964,69.0,135.0,8.617551405542514e-07,True,8.617551405542514e-06,69.0,135.0,5.254433627266542e-06,True,5.254433627266542e-05,34.0,58.0,0.08442322220708852,False,0.8442322220708852
Contriever,0.16040958982028605,0.2618196802568055,0.285105576019109,0.1526149545158833,0.5268048873415137,35.0,59.0,0.678666525040589,False,1.0,38.0,46.0,0.8084865796296642,False,1.0,77.0,133.0,0.036809498589546456,False,0.3680949858954646,78.0,131.0,0.1686858311682524,False,1.0,43.0,60.0,0.020484447310517958,False,0.2048444731051796
