name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
"RRF(60,60)",0.9217333504176278,0.9504841158327838,0.8533076705144543,0.8082198336642307,0.8417431309879987,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
MM,0.9242488106297804,0.9504841158327838,0.8619691999748135,0.8200121716246056,0.8524835289873095,160.0,93.0,0.005126113256616952,False,0.05126113256616952,0.0,0.0,,False,,1271.0,729.0,7.119256023850514e-19,True,7.119256023850513e-18,1272.0,728.0,6.124645501559991e-20,True,6.124645501559991e-19,843.0,484.0,2.3696843921158745e-14,True,2.3696843921158745e-13
TMM,0.9251184796413244,0.9504841158327838,0.8633962879613124,0.8219129732690073,0.8538955095281952,154.0,72.0,9.885657992168479e-05,True,0.000988565799216848,0.0,0.0,,False,,1317.0,688.0,1.1919139725217754e-26,True,1.1919139725217753e-25,1321.0,684.0,4.938050465680293e-28,True,4.938050465680293e-27,858.0,459.0,1.866605412981131e-18,True,1.8666054129811312e-17
Z,0.9248305449445922,0.9504841158327838,0.863352320036853,0.8217476664395186,0.8542267681514649,150.0,78.0,0.00034368830005432094,True,0.0034368830005432095,0.0,0.0,,False,,1303.0,682.0,6.994204863952158e-27,True,6.994204863952157e-26,1306.0,679.0,6.344147431678745e-28,True,6.344147431678745e-27,850.0,444.0,7.084950658247396e-20,True,7.084950658247395e-19
MM-LEX,0.9093243974861701,0.9504841158327838,0.83985478647165,0.7910796356452514,0.8247128642354284,152.0,317.0,1.1095623919104876e-18,True,1.1095623919104877e-17,0.0,0.0,,False,,1005.0,1513.0,4.376092301591257e-23,True,4.376092301591257e-22,997.0,1521.0,4.982539007960438e-22,True,4.982539007960438e-21,690.0,1108.0,4.230717786014503e-19,True,4.230717786014503e-18
TMM-LEX,0.9092743974861701,0.9504841158327838,0.8398388898749614,0.7910532239088398,0.8247028642354282,152.0,318.0,8.475739329314007e-19,True,8.475739329314007e-18,0.0,0.0,,False,,1004.0,1514.0,3.8968283215261537e-23,True,3.8968283215261536e-22,996.0,1522.0,4.327568961772897e-22,True,4.327568961772898e-21,689.0,1109.0,4.0340122570092373e-19,True,4.034012257009237e-18
Z-LEX,0.9120134865996375,0.9504841158327838,0.8443366915453727,0.7969006640371418,0.8303802197891582,150.0,280.0,1.869844488386837e-13,True,1.869844488386837e-12,0.0,0.0,,False,,1007.0,1378.0,1.9216773858801187e-12,True,1.9216773858801185e-11,1001.0,1384.0,1.1042360198209027e-11,True,1.1042360198209026e-10,687.0,978.0,2.535249696577675e-10,True,2.535249696577675e-09
Identity,0.9177668400644187,0.9504841158327838,0.8507079514957151,0.8050426880537825,0.8387258979915985,121.0,183.0,9.255759724725675e-05,True,0.0009255759724725675,0.0,0.0,,False,,1033.0,1173.0,0.015979381647932018,False,0.15979381647932017,1034.0,1171.0,0.02507259187050073,False,0.25072591870500727,703.0,796.0,0.05153856028535918,False,0.5153856028535918
BM25,0.8683964728187784,0.9504841158327838,0.7895572305723025,0.7264405082147978,0.7616152533317909,111.0,888.0,1.1518286578963532e-123,True,1.1518286578963532e-122,0.0,0.0,,False,,786.0,2781.0,8.765103335128214e-210,True,8.765103335128214e-209,778.0,2789.0,7.351825648789327e-208,True,7.351825648789327e-207,631.0,2197.0,5.312006895706077e-175,True,5.312006895706077e-174
TASB,0.9078843811585088,0.9504841158327839,0.8376752874449048,0.7882499065283912,0.8219116169615525,151.0,341.0,1.0506471409228434e-21,True,1.0506471409228434e-20,0.0,0.0,,False,,997.0,1589.0,5.443610728915927e-29,True,5.443610728915927e-28,993.0,1593.0,7.989354089692563e-28,True,7.989354089692563e-27,685.0,1166.0,3.677432249147062e-24,True,3.6774322491470616e-23
Contriever,0.9183313503458855,0.9504841158327839,0.8433153611621492,0.7953103286230782,0.8279093584814493,210.0,258.0,0.010235068474347108,False,0.10235068474347109,0.0,0.0,,False,,1223.0,1585.0,1.877633464400603e-11,True,1.877633464400603e-10,1225.0,1583.0,4.0485165048452144e-11,True,4.0485165048452147e-10,881.0,1183.0,4.4199563036180505e-11,True,4.4199563036180507e-10
