name,R@10,R@100,nDCG@100,AP@100,RR@100,R@10 +,R@10 -,R@10 p-value,R@10 reject,R@10 p-value corrected,R@100 +,R@100 -,R@100 p-value,R@100 reject,R@100 p-value corrected,nDCG@100 +,nDCG@100 -,nDCG@100 p-value,nDCG@100 reject,nDCG@100 p-value corrected,AP@100 +,AP@100 -,AP@100 p-value,AP@100 reject,AP@100 p-value corrected,RR@100 +,RR@100 -,RR@100 p-value,RR@100 reject,RR@100 p-value corrected
"RRF(60,60)",0.831111111111111,0.9483333333333334,0.7306587046090067,0.6637860520358381,0.6749494278555918,,,,False,,,,,False,,,,,False,,,,,False,,,,,False,
MM,0.8138888888888889,0.9416666666666667,0.7179944928324571,0.6506572653676366,0.6630524662754514,7.0,12.0,0.21553564334471656,False,1.0,2.0,4.0,0.41512583287553373,False,1.0,48.0,52.0,0.0854585817986879,False,0.854585817986879,47.0,53.0,0.14859321917536666,False,1.0,40.0,48.0,0.2098485633973343,False,1.0
TMM,0.8284444444444444,0.9516666666666667,0.7296047031074121,0.6619851003745114,0.6724975756766993,8.0,8.0,0.828305714250551,False,1.0,3.0,2.0,0.6554752676913878,False,1.0,58.0,38.0,0.8626454798107277,False,1.0,58.0,38.0,0.8170134769871819,False,1.0,49.0,33.0,0.7522604514959428,False,1.0
Z,0.8401111111111111,0.9516666666666667,0.7331617479401659,0.6667991809639957,0.675268761604772,10.0,6.0,0.47599327943396463,False,1.0,2.0,1.0,0.564570839639592,False,1.0,60.0,34.0,0.6523656246469819,False,1.0,60.0,34.0,0.6736007243550698,False,1.0,54.0,31.0,0.9660073112325948,False,1.0
MM-LEX,0.7390555555555555,0.8933333333333333,0.6599642634998372,0.5916675979813604,0.6034340327222373,6.0,36.0,3.9882374187916465e-06,True,3.988237418791647e-05,1.0,18.0,9.542634499157954e-05,True,0.0009542634499157954,37.0,100.0,1.3765091662387501e-08,True,1.37650916623875e-07,36.0,101.0,8.653452794760639e-07,True,8.65345279476064e-06,31.0,97.0,2.4659821277704034e-06,True,2.4659821277704036e-05
TMM-LEX,0.7390555555555555,0.8933333333333333,0.6599642634998372,0.5916675979813604,0.6034340327222373,6.0,36.0,3.9882374187916465e-06,True,3.988237418791647e-05,1.0,18.0,9.542634499157954e-05,True,0.0009542634499157954,37.0,100.0,1.3765091662387501e-08,True,1.37650916623875e-07,36.0,101.0,8.653452794760639e-07,True,8.65345279476064e-06,31.0,97.0,2.4659821277704034e-06,True,2.4659821277704036e-05
Z-LEX,0.7865555555555555,0.9133333333333333,0.6948756060577254,0.6301515268083904,0.640669199179196,6.0,20.0,0.005536732047270452,False,0.055367320472704526,1.0,12.0,0.00256712450187296,True,0.0256712450187296,45.0,73.0,0.00027608392330837533,True,0.0027608392330837534,46.0,72.0,0.004465652386184914,True,0.044656523861849144,35.0,70.0,0.005853824507163376,False,0.05853824507163376
Identity,0.8225555555555555,0.9366666666666666,0.7187894295435923,0.6519765593720871,0.6621135316991988,7.0,10.0,0.450463477619263,False,1.0,1.0,5.0,0.12684089243106939,False,1.0,45.0,63.0,0.10072705764957526,False,1.0,44.0,64.0,0.19121333115463585,False,1.0,41.0,57.0,0.1714577363141482,False,1.0
BM25,0.8143333333333334,0.9226666666666667,0.6965625022154535,0.626748723422958,0.636618812086729,13.0,20.0,0.31908978804690047,False,1.0,1.0,10.0,0.011292040606932806,False,0.11292040606932806,43.0,75.0,0.0018081057072303949,True,0.01808105707230395,43.0,75.0,0.005676617441987917,False,0.05676617441987917,43.0,67.0,0.005659004060693446,False,0.05659004060693446
TASB,0.7323888888888889,0.8916666666666667,0.651384479807525,0.581492766822639,0.5940067856110701,6.0,38.0,1.3970963192485345e-06,True,1.3970963192485345e-05,1.0,19.0,6.459375776251813e-05,True,0.0006459375776251814,36.0,105.0,1.0368351631608617e-09,True,1.0368351631608616e-08,35.0,106.0,8.350955676052848e-08,True,8.350955676052848e-07,30.0,102.0,3.143652314313912e-07,True,3.143652314313912e-06
Contriever,0.8086111111111112,0.936,0.6769641915819026,0.5971615221623917,0.6124204496456882,11.0,19.0,0.19286247606802603,False,1.0,3.0,8.0,0.2253653335832381,False,1.0,43.0,89.0,1.3657111781040305e-06,True,1.3657111781040304e-05,43.0,89.0,2.0449772798548606e-06,True,2.0449772798548604e-05,41.0,80.0,1.49862677492419e-05,True,0.000149862677492419
